日期,活動項目,參加人數,備註
2021-06-22,畫圖與作品欣賞,11.0,楊吳劉、許采瀅:主動要求玩拼圖
2021-06-23,球類運動,8.0,"1.今天活動凝聚力較低，導致人數浮動，且有歧視、排擠等現象出現(李楊月)。
2.廖猛說:只有我一個人在踢。
"
2021-06-24,自由活動,8.0,
2021-06-25,球類運動,12.0,李楊月:今天活動狀況極佳
2021-06-28,賓果遊戲,14.0,"
1. 程信:由於下雨在室內，邀請後也開始遊玩
2. 許采瀅:因為較晚加入，所以有些數字尚未填寫，但是會跟楊吳劉對數字，趕上進度
3. 蘇鍾水裡:在找尋數字時，發現王吉雄也有在幫忙找(第一次)
"
2021-06-29,畫圖與作品欣賞,13.0,許采瀅:活動力佳，連續畫了三張圖
2021-06-30,球類運動,12.0,
2021-07-01,自由活動,10.0,1.黃寶血:一口氣玩了六組拼圖。 2.由於新添購拼圖，所以大部分住民都在玩拼圖。
2021-07-02,球類運動,12.0,1.謝秀琴:有針對李楊月排擠現象發生。
2021-07-03,唱歌與歌唱欣賞,15.0,
2021-07-04,唱歌與歌唱欣賞,16.0,
2021-07-05,賓果遊戲,15.0,1.黃寶血、廖招治:認為同桌的廖李罔市拖累活動進程，且有歧視言論 2.程日松:雖沒參加活動，可是卻對活動形式有意見 3.李廖連順:有與該長者透過問答數字互動，且互動良好
2021-07-06,畫圖與作品欣賞,12.0,1.活動整體氣氛佳，且發現大家較為喜歡黃色的畫筆以及底圖為女性或是服裝相關 2.許采瀅、廖張玉珠:多畫一張圖 3.廖張玉珠、蘇鍾水裡:感覺長者對於畫圖的信心有所增加 4.謝秀琴:今天不排斥畫圖
2021-07-07,球類運動,13.0,1.活動一開始雖有責罵李楊月不踢球的現象，但經過照服人員勸導後，整體活動氛圍較佳，且無責罵狀況發生。2.黃英:第一次主動發言要參與活動。
2021-07-08,自由活動,12.0,1.大家對於新拼圖，仍保有很高的興趣。2.蘇鍾水裡:排除長者的活動參與的困難後，長者非常踴躍嘗試。3.觀察到之前與長者敲冰塊的新增的遊玩方式開始被其他長者複製，可見周遭長者的改變可潛移默化至其他長者。
2021-07-09,球類運動,19.0,1.活動形式轉為一對一的方式，有些怕生的長者也會開始玩
2021-07-10,唱歌與歌唱欣賞,22.0,
2021-07-11,唱歌與歌唱欣賞,22.0,
2021-07-12,賓果遊戲,12.0,1.程萬寶:第一次開始參與該活動
2021-07-13,畫圖與作品欣賞,11.0,"1.今日活動氣氛平穩。
2.許采瀅:今天仍舊畫了兩張圖。
3.謝秀琴:今天主動要求畫一些簡單的畫。
4.黃英:今天眼睛狀況較差，但仍嘗試繪畫。
5.黃寶血:提醒工作人員要小心對待她的畫，可看出長者珍惜自己的作品。
6.蘇鍾水裡:開始會拿自己的畫欣賞，且告知工作人員:黃色的筆沒水了以及手很酸，不過仍努力完成畫作。"
2021-07-14,球類運動,11.0,"1.一邊踢球一邊講述新聞的活動效果不錯。
2.今日雖然人數較少，長者需要負責較大面積的防守、踢球，本以為在工作人員不足的狀況下會較難以進行，意外地活動進行順利，未來可以考慮以10個作為活動分組。"
2021-07-15,自由活動,12.0,"1.程萬寶:看見隔壁的玉珠在玩拼圖，開始也跟著玩。
2.程周春梅:開始對於桌遊抱持不同的想法，本來是能打發時間就好，後來變成玩具蠻好玩的。
3.蘇鍾水裡:對玩拼圖較為熟悉了，玩了六組。
4.黃寶血:有教同桌的廖招治玩拼圖，不過招治阿嬤還是比較願意畫圖，聽寶血阿嬤轉述:她說她學不會。"
2021-07-16,球類運動,13.0,"1.今天參加者較為踴躍，無須工作人員也加入其中，也能讓活動順利進行。
2.黃英:第二次參加球類活動，反應快速，期待可成為活動參與的常設人員。
3.王戴錦笑:雖然有在團體內，對於踢球不怎麼踴躍。
4.許多長者都有提及今日參加人數較多。
5.李廖連順、廖招治:可能所處位置可以踢到球的機會較少，所以會主動調整位置，期待獲得更多踢球的機會。"
2021-07-17,唱歌與歌唱欣賞,22.0,"住民多數認真聆聽,有些住民也會適時的給予掌聲,讓歌唱者與聽眾產生互動與對話,少數住民會睡覺,或是無法專心聆聽,比如說9號程日松.59號廖連發售等,有些人能明顯令人感覺樂在其中.享受無比,因為他們會聽著音樂,跟著歌唱者一起進入歌唱世界,一起唱出美妙無比的黃鶯之音,總而言之,整體而言住民的活動參與度頗高,只有零星幾位不在狀態上,或許我們可以鼓勵並帶領這些迷茫的人員進入五彩繽紛的歌唱世界,以上正是此次活動一些觀察所得云云"
2021-07-18,唱歌與歌唱欣賞,22.0,無
2021-07-19,賓果遊戲,13.0,"1.程萬寶:繼上次有參加該活動後，這次也有參加。
2.聽工作人員轉述:以前蘇清露下午都不會出來，不過現在下午出現的頻率比較高了，不知道是不是同為室友的程萬寶影響了他，這其中的因果關係仍需要確認，不過以長者之前的狀況來比較，我認為能出來走走就是好事。
"
2021-07-20,畫圖與作品欣賞,10.0,"1.廖張玉珠:身體不適沒有參與活動。
2.廖李甘:認為畫圖的原圖不喜歡，所以沒有參與活動。
3.許李傳:今天不排斥參與活動。
4.蘇鍾水裡:長者表示今日畫圖的原圖較難，所以很吃力。
小結:下次為更仔細挑選原圖。"
2021-07-21,球類運動,12.0,"1.廖程貴美:有針對李揚月的霸凌現象產生，不過情況較輕微。
2.廖張玉珠:有針對李揚月的霸凌現象產生，由於該長者身體能力較佳，會將球故意往李揚月身上踢"
2021-07-22,自由活動,12.0,無
2021-07-23,球類運動,20.0,"1.由於工作人員數量較多，所以活動內容為:投籃，所以活動形式改成非團體活動，透過工作人員四處移動器材並鼓勵長者參與活動，參與人數明顯上升。
2.本來不參加團體活動的長者，因為修改活動形式，所以也開始會參與了，表現不比其他原先就會參與活動的長者差，"
2021-07-24,唱歌與歌唱欣賞,22.0,無
2021-07-25,唱歌與歌唱欣賞,22.0,無
2021-07-26,賓果遊戲,15.0,"1.廖張玉珠:在找數字時，有時會發現長者狀況較差，雖然有提示數字位置，不過得不太到回應。
2.程萬寶:開始習慣參與此活動了。"
